"user","map","lineChart","mapPoint","line","vertical","note","countryEntity","yearEntity"
1,0,0.6,0,0,1,0,6.6,1
2,0.4,0,0,1.6,0.4,0,1.8,0.8
3,0,0.2,0,0,1.8,0,2.6,1.8
4,0,0,0,0,1.8,0.4,1.8,1.8
5,0,0,0,1,0.6,0,1.8,0.6
6,0,0.166666666666667,0,0,1,0.166666666666667,2,1
7,0,0.285714285714286,0,0.714285714285714,0.285714285714286,0.285714285714286,1.85714285714286,0.285714285714286
8,0,0.8,0,0.4,0,0,1.4,0
9,0,0.6,0,0,0.2,0.2,1.6,0.2
10,0,0.6,0.4,0,0,0.8,1,0.2
11,0,0.2,0.4,1.2,0,0.4,1.6,0.2
12,0,0,0,0,0,1,0,0
13,0.833333333333333,0,1.5,0,0,0.166666666666667,0.5,2.33333333333333
14,0,0,0,0.2,1,0,1.2,1
15,0,0.8,0,0,0.2,0,1.8,0.2
16,0,0,0,0,0,1,0,0
17,0,0,0,0.4,1,0,1.2,1
18,0.4,0.6,0,0,0,0,1.4,0.4
19,0,0.2,0,1.4,0,0,1.6,0
20,0,0,0,0.6,1,0.4,1.8,1
21,0,0,0,0,1,0,2,1
22,0,0,0,0,1,0,2.375,1
23,0,0.2,0,2,0.2,0.8,2.4,0.2
24,0,0,1.4,0,0,0.2,1.4,1
25,0,0,1.6,4.8,0,0.4,5,1.2
26,0,0.2,0,0.8,0.4,0.2,1.8,0.4
27,0,0,0,1.2,0.4,0,2,0.4
28,0,0,0,0,1.33333333333333,0.333333333333333,2,1.33333333333333
29,0,1,0,0,0,0,2.4,0
30,0,0.8,0,0,0.2,0,2.8,0.2
31,0,0,0.4,0.6,1,0.2,1.4,1.2
32,0,0,0.4,0,2.6,0,2,2.8
33,0,0,0,0.8,1,0,2,1
34,0,0,0,0,1.2,0,3.2,1.2
35,0,0,1,0.166666666666667,0.166666666666667,0,1.33333333333333,1
36,0,0.5,0,0,0,0.5,1,0
37,0,0,0,1.33333333333333,0,0,1.33333333333333,0
38,0,0,0,1.4,0.2,0,1.8,0.2
39,1,1,2,1.8,0.8,0.8,2,1
40,0,0.4,0,0,0.8,0,1.8,0.8
41,3.2,0.8,0,0,0,0,0.8,3.2
42,0,1,0,0,1,0.333333333333333,2.16666666666667,1
43,0.4,0,0.8,0.6,1.8,0.4,2.8,2
44,0,0,0,1.8,0,0,1.8,0
45,0,0.2,0,0.4,2.8,0.2,1.8,2.8
46,0.2,0.2,0,0.8,0,0,1,0.2
47,0,0.2,0,0.2,0.2,0.4,1,0.2
48,0,0,0,0,1,0,2,1
49,0,1,0,0,0,0,1.6,0
50,0,0,0.8,0.4,0.6,0.2,1,1.2
51,0,0,0,0,0.6,1,0.4,0.6
52,0.4,0.4,3,0,0,0,2,2
53,0,0.6,0.2,0,0.6,0,1.8,0.8
54,0.166666666666667,0.833333333333333,0,0,0.166666666666667,0.333333333333333,3.66666666666667,0.333333333333333
55,0,0,0,1.2,0.2,0,1.4,0.2
56,0,1,0,0,0,0,3.4,0
57,0,0.8,0,0.2,0.6,0,2.6,0.6
58,0,1,0,0,0,0,1.2,0
59,0,1,0,0,0,0,2.2,0
60,0,0,0,0,0,1,0,0
61,0,0,0,0.166666666666667,0.833333333333333,0,1,0.833333333333333
62,0,0,0,0.6,1,0,2.4,1
63,0.4,0.6,0,0.2,0,0.8,1.2,0.4
64,0,0,0,2.2,0.6,0,2.2,0.6
65,0,0.6,0,0,0.4,0.4,1.4,0.4
66,0,0.6,0.4,0.2,0.4,0,1.6,0.6
67,0,0.8,0.4,0,0,0,1.8,0.2
68,0.2,0.6,0.8,0,1.2,0,2,1.8
69,0,0,0,0,2.16666666666667,1.16666666666667,2,2
70,0,0,0.0769230769230769,0,0,0.461538461538462,0.0769230769230769,0.0769230769230769
71,0,0.4,0,0,1,0,1.8,1
72,0,0,0,0.5,0.5,0,1.66666666666667,0.5
73,0,0.6,0,0,0,0.4,1.2,0
74,0,1,0,0,0,0,1.8,0
75,0,1,0,0,0,0,1.8,0
76,0.2,0.4,0.4,0,0.8,0.2,1.8,1
77,0,0,0,1,0.833333333333333,0,1.66666666666667,0.833333333333333
78,0,0.4,0,0,0.6,0,2.8,0.6
79,0,0,0,0.2,0.8,0,1.8,0.8
80,0,0,0,1.4,0.2,0,1.8,0.2
81,0,0,2.6,0,0,0,1.8,1.8
82,0.4,1,0,0,0,0,2,0.4
83,0.6,0.4,0,0,0,0,1.2,0.6
84,1,1,1.6,0.4,0.2,0,2,1.2
85,0,0.8,0.2,0,0,0.4,2.4,0.2
86,0,0,0,1,0.2,0,1.4,0.2
87,0,0,0,0,1.2,0.2,1.6,1.2
88,0,0,0,0.6,1,1,2,1
89,0,0,0,0,1.6,0,1.8,1.6
90,0,0,0,0,1,0,2.2,1
91,0,0,0.6,0.6,0.6,0,1.6,1
92,0,1,0,0,0,0,1.2,0
93,0,1,0,0,0,0.2,1.4,0
94,0,0.4,0,0,0.6,0,2.4,0.6
95,0,0,0,0,2,0,2.2,2
96,0,0,0,1.6,0.2,0,2,0.2
97,0,0,0.4,0.6,1,0,1,1.2
98,0,0,0,0.4,1.4,0,2,1.4
99,0,0,0,0.4,1.6,0,1.8,1.6
100,0,0.4,0,0,0.6,0,1.2,0.6
101,0,0,0,0,1,0,3.6,1
102,0,0,0,0,2.2,0,2,2.2
103,0,0,0,1,1,0,1.8,1
104,0,1,0,0,1.4,0,1.6,1.4
105,0,0,0,0.4,0.8,0,1.6,0.8
106,0,0,0,0,1,0,2,1
107,0,0,1,1.16666666666667,1.16666666666667,0,1.83333333333333,2
108,0,0.166666666666667,0,0.166666666666667,0.666666666666667,0,1.33333333333333,0.666666666666667
109,0.4,0.2,0,1.8,0.6,0,2.2,1
110,0.4,0.2,0,0,1.6,0,2,2
111,0,0,0,0,2.4,0,1,2.4
112,0,0,0,0.8,0.8,0,2,0.8
113,0,1.2,0,0,0,0.2,2.2,0
114,0,0.2,0,0,1,0.2,2.4,1
115,0,0,0,0,1.6,0.2,2.2,1.6
116,2.6,0,0,0,2.4,3.6,7.6,2.6
117,0,0,0,0,2.66666666666667,0,1.5,2.66666666666667
118,0,0.4,1,0.8,2.2,0,1.8,2.2
119,0,0,0.2,0,0.8,0,2.6,1
120,0,0,5.8,0,0,0,1.2,4.8
121,0.6,0,0,1,3.2,0,2.6,3.4
122,0.2,0.8,0,0,0.6,0,2.8,0.6
123,0,0,0,1.2,0.8,0,1.8,0.8
124,0,0.2,0,0,0.6,0.2,1.2,0.6
125,0,0.6,0,0,0.2,0.2,2.8,0.2
126,0,0.2,0,0.6,1.4,0,2,1.4
127,0,0,0,0,1.2,0,3.6,1.2
128,0,0.2,0.2,0.4,0,0.2,0.8,0.2
129,0,0.6,0,0,0.6,0.2,1.6,0.6
130,0,0,0,1.33333333333333,1,0,1.66666666666667,1
131,0.2,0.8,0,0,0.2,0,2,0.2
132,0,0.2,0,1.2,0.2,0,1.6,0.2
133,0,0,0,0,1,0,2,1
134,0.6,0.8,0.2,0.2,0.2,0,1.4,0.6
135,0,0.4,0,0,1,0,2.8,1
136,0,0,0,2.2,1,1,2.2,1
137,0,0.8,0,0.4,0,0.4,2.2,0
138,0,0,3.28571428571429,0,0,0.428571428571429,1.71428571428571,1.85714285714286
139,0,0,0,0,3,0,2,3
140,0,0,0,0.8,0.6,0,1.2,0.6
141,0,0,0,2.2,0,0.2,2.2,0
142,0.8,1,0,0,0,0,3.6,0.8
143,0,1,0,0,0,0,3.2,0
144,0,0,0,0.2,1,0,1.8,1
145,0,0,0,0,0.4,0.6,0.8,0.4
146,0.4,1,0,0,0,0,1.6,0.4
147,0.4,0,0.6,0.4,0.4,0.2,1,1
148,0,0,0,0,1,0,6,1
149,0.2,1,0,0,0.2,0,1.4,0.4
150,0,0,0,1.4,0,0,1.4,0
151,0.2,0,0,0.4,1,0,2,1.2
152,1.4,1,0,0,0,0,2.4,1.4
153,0,0,0,0,0,1,0,0
154,0.4,0.2,0,0,1.6,0.6,3,1.8
155,0,0.2,0,0,1.4,0,1.6,1.4
156,0.5,0,1.8,0.3,1.7,0.6,1.9,2.1
157,0,0.6,0.8,0,2,0,1.4,2
158,0,0,0,0,0,1,0,0
